,Siglas,Nombre_Completo
254,SECTUR,"En el año 2030, México será un país líder en la actividad turística. Para..."
255,SEDATU,"SECRETARÍA DE DESARROLLO AGRARIO, TERRITORIAL Y URBANO"
256,SEDENA,"La Secretaría de Defensa Nacional tiene como misión organizar, administrar y..."
257,SEGOB,La Secretaría de Gobernación atiende el desarrollo político del país y...
258,Seguro Popular,Proveer de servicios de salud a la población beneficiaria del Sistema de...
259,SEMARNAT,Secretaría de Medio Ambiente y Recursos Naturales
260,SENASICA,SENER
261,"La Secretaría de Energía conduce la política energética del país, dentro del...",SEP
262,La Secretaría de Educación Pública tiene como propósito esencial crear...,Servicio Geológico Mexicano
263,El Servicio Geológico Mexicano (SGM) es un organismo público descentralizado...,SESNA
264,Secretaría Ejecutiva del Sistema Nacional Anticorrupción,SESNSP
265,"Es un Órgano Administrativo Desconcentrado de la Secretaría de Gobernación,...",SFP
266,Secretaría de la Función Pública,SHCP
267,La Secretaría de Hacienda y Crédito Público es la dependencia del Poder...,SHF
268,SHYFPCHIAPAS,SECRETARÍA DE LA HONESTIDAD Y FUNCIÓN PÚBLICA DEL GOBIERNO DEL ESTADO DE CHIAPAS
269,SIAP,Sistema Público de Radiofusión del Estado Mexicano
270,Sistema Público de Radiofusión del Estado Mexicano,SNDIF
271,Sistema Nacional para el Desarrollo Integral de la Familia,SNICS
272,"El SNICS es un órgano desconcentrado de la SAGARPA, encargado de normar y...",SRE
273,SSPC,Secretaría de Seguridad y Protección Ciudadana
274,STPS,La Secretaría del Trabajo y Previsión Social tiene a su cargo el desempeño de...
275,TA,Tribunales Agrarios
276,Telecomm,Telecomunicaciones de México (TELECOMM) es un organismo público...
277,TFCA,TRIBUNAL FEDERAL DE CONCILIACIÓN Y ARBITRAJE
278,TGM,Talleres Gráficos de México
279,UNAM,UPN
